postcode,postcode_introduced,postcode_terminated,lat,long
E11 2DE,198001,,51.583325,0.029987
E11 2DF,198001,,51.582451,0.028548
E11 2DG,198307,,51.581142,0.035548
E11 2DH,199002,,51.583779,0.028723
E11 2DJ,200306,,51.579238,0.032331
E11 2DL,198001,,51.578786,0.029843
E11 2DN,198001,,51.579018,0.029435
E11 2DP,198001,,51.580006,0.03212
E11 2DR,198001,,51.581465,0.02989
E11 2DS,200302,,51.579288,0.032564
E11 2DT,198001,,51.58186,0.030471
E11 2DU,198001,,51.582181,0.02907
E11 2DW,198001,,51.580527,0.032172
E11 2DX,198001,,51.582611,0.029133
E11 2DY,198001,,51.581899,0.032349
E11 2DZ,198001,,51.581294,0.033058
E11 2EA,198001,,51.58067,0.033737
E11 2EB,198001,,51.5813,0.034776
E11 2ED,198001,,51.580094,0.034274
E11 2EE,198001,,51.578808,0.031677
E11 2EF,198001,,51.577835,0.030753
E11 2EG,199308,,51.584441,0.035133
E11 2EH,198001,,51.578289,0.032606
E11 2EJ,199308,,51.584784,0.035581
E11 2EL,198001,,51.578558,0.027437
E11 2EN,198001,,51.579231,0.027524
E11 2EP,198001,,51.579833,0.029139
E11 2EQ,200705,,51.575367,0.025823
E11 2ER,198001,,51.579938,0.029288
E11 2ES,198001,,51.580669,0.030186
E11 2ET,198001,,51.58071,0.028846
E11 2EU,198001,,51.581333,0.029235
E11 2EW,198001,,51.579803,0.028243
E11 2EX,198001,,51.581634,0.028945
E11 2EY,198001,,51.582225,0.028062
E11 2EZ,198001,,51.581505,0.028131
E11 2FE,201406,,51.579474,0.025457
E11 2GA,200505,,51.578609,0.026559
E11 2GX,200101,200101,51.581613,0.028121
E11 2HA,198001,,51.581129,0.027522
E11 2HB,198001,,51.581304,0.027241
E11 2HD,198001,,51.57992,0.027699
E11 2HE,198001,,51.580246,0.02757
E11 2HF,198001,,51.5802,0.025561
E11 2HG,198001,,51.580471,0.0256
E11 2HH,198001,,51.579058,0.028195
E11 2HJ,198301,,51.579224,0.028448
E11 2HL,200512,,51.579732,0.026231
E11 2HN,198001,,51.576715,0.030039
E11 2HP,198001,,51.576751,0.03108
E11 2HQ,198704,,51.578785,0.027865
E11 2HR,199208,,51.580818,0.027797
E11 2HT,199906,,51.576876,0.032139
E11 2HU,198001,200402,51.576855,0.039585
E11 2HW,198001,,51.576957,0.029672
E11 2HX,198001,,51.577347,0.032042
E11 2HY,198001,,51.577279,0.033268
E11 2HZ,198001,,51.578046,0.033663
E11 2JA,198001,,51.579419,0.034836
E11 2JB,198001,,51.578743,0.035989
E11 2JD,198001,,51.577794,0.034706
E11 2JE,198001,,51.576088,0.033013
E11 2JF,198001,,51.575859,0.031127
E11 2JG,198001,199612,51.575988,0.030469
E11 2JH,199201,199512,51.575089,0.030429
E11 2JL,200709,,51.57575,0.029244
E11 2JN,198001,,51.575128,0.029738
E11 2JP,198001,,51.575789,0.030546
E11 2JQ,198001,199612,51.576013,0.029026
E11 2JR,198001,,51.575324,0.03194
E11 2JS,198001,,51.575727,0.033603
E11 2JT,198001,,51.574802,0.031455
E11 2JU,198001,,51.574416,0.031928
E11 2JW,198001,,51.575618,0.030019
E11 2JX,198001,,51.574011,0.031925
E11 2JY,198001,,51.574826,0.034198
E11 2JZ,198001,,51.575654,0.035736
E11 2LA,198001,,51.575652,0.034769
E11 2LB,198001,,51.576649,0.037539
E11 2LD,198001,,51.576557,0.035993
E11 2LE,198001,,51.576785,0.034819
E11 2LF,198001,,51.576106,0.034039
E11 2LH,198001,198112,51.572344,0.033192
E11 2LL,198001,,51.573025,0.032256
E11 2LN,198001,,51.572882,0.032755
E11 2LP,198001,,51.571903,0.034731
E11 2LR,198001,,51.571204,0.035624
E11 2LS,198001,,51.570545,0.037326
E11 2LT,198001,,51.568074,0.042509
E11 2LU,198001,,51.571454,0.037814
E11 2LW,198001,,51.571469,0.034871
E11 2LX,198001,,51.573407,0.03513
E11 2LY,198001,,51.572631,0.03423
E11 2LZ,198001,,51.573047,0.034118
E11 2NA,198001,,51.573367,0.035893
E11 2NB,198001,,51.573261,0.037332
E11 2NE,198301,198412,51.573267,0.03179
E11 2NG,198001,,51.573234,0.025367
E11 2NH,198001,,51.571553,0.027399
E11 2NJ,198001,,51.570513,0.026198
E11 2NL,198001,,51.569471,0.02406
E11 2NN,198001,,51.569558,0.02529
E11 2NP,198001,,51.572816,0.030818
E11 2NQ,198001,,51.572142,0.026661
E11 2NR,198001,,51.57246,0.030095
E11 2NS,198001,,51.573764,0.030081
E11 2NT,198001,,51.574984,0.028706
E11 2NU,198001,,51.573708,0.0266
E11 2NW,198001,,51.571295,0.02935
E11 2NX,198001,,51.572374,0.02833
E11 2PE,198001,,51.572915,0.016851
E11 2PF,198001,,51.572549,0.017773
E11 2PG,198001,,51.573403,0.021305
E11 2PH,198001,,51.573038,0.017955
E11 2PJ,198001,,51.572832,0.018971
E11 2PL,198001,,51.57359,0.018788
E11 2PN,198001,,51.573787,0.019388
E11 2PP,198001,,51.573967,0.020435
E11 2PQ,199002,200006,51.577611,0.027077
E11 2PR,198001,,51.573877,0.022524
E11 2PS,198504,,51.573151,0.020789
E11 2PT,198001,,51.574979,0.025372
E11 2PU,198001,,51.575327,0.026571
E11 2PW,198001,,51.573872,0.019175
E11 2PX,198001,,51.573618,0.019799
E11 2PY,198001,,51.572217,0.018106
E11 2PZ,198001,,51.574843,0.024919
E11 2QA,198001,,51.571304,0.021544
E11 2QB,198001,,51.571601,0.021514
E11 2QD,198001,,51.571572,0.023215
E11 2QE,198001,,51.57187,0.02327
E11 2QF,198001,,51.572046,0.021779
E11 2QG,198001,,51.572435,0.023196
E11 2QH,198001,,51.573551,0.024212
E11 2QJ,198001,,51.572307,0.025412
E11 2QL,198001,,51.572898,0.026636
E11 2QN,198001,,51.571309,0.025397
E11 2QP,198001,,51.570262,0.022621
E11 2QQ,198001,,51.571976,0.023895
E11 2QR,198710,199112,51.571619,0.023058
E11 2QS,199101,199212,51.572518,0.023098
E11 2QT,198001,,51.572984,0.023206
E11 2QU,198307,198412,51.572518,0.023098
E11 2QW,198001,,51.569906,0.023848
E11 2QX,198303,198812,51.570696,0.024461
E11 2RA,198001,,51.575333,0.021492
E11 2RB,198001,,51.575104,0.021265
E11 2RD,199002,199212,51.575239,0.021776
E11 2RE,198001,,51.576031,0.02171
E11 2RF,198001,,51.575275,0.022773
E11 2RG,198001,,51.575776,0.023488
E11 2RH,198001,,51.576333,0.026631
E11 2RJ,198001,,51.576169,0.027372
E11 2RL,198001,,51.576546,0.027951
E11 2RN,198001,201910,51.575571,0.027535
E11 2RP,198001,,51.576618,0.020538
E11 2RQ,198001,,51.576409,0.023805
E11 2RR,198106,200409,51.576651,0.026962
E11 2RS,198410,,51.576297,0.02139
E11 2RT,198704,,51.576297,0.027233
E11 2RU,200006,,51.576543,0.028502
E11 2RW,198001,199512,51.576038,0.027584
E11 2RX,200901,,51.575343,0.025648
E11 2SA,198001,,51.576872,0.019494
E11 2SB,198001,,51.575435,0.018191
E11 2SD,198001,,51.57578,0.018524
E11 2SE,198001,,51.576341,0.018837
E11 2SF,198001,,51.576652,0.019196
E11 2SG,198001,,51.577061,0.01936
E11 2SH,198001,,51.5793,0.021437
E11 2SJ,198001,,51.580042,0.022235
E11 2SL,198001,,51.580345,0.022407
E11 2SN,198001,,51.577705,0.021135
E11 2SP,198001,,51.578178,0.021849
E11 2SQ,198001,,51.577837,0.02026
E11 2SR,198001,,51.577835,0.022425
E11 2SS,198001,,51.578564,0.023538
E11 2ST,198001,,51.578567,0.022241
E11 2SU,198001,,51.576697,0.020094
E11 2SW,198001,,51.578101,0.023188
E11 2SX,199109,199112,51.576162,0.020374
E11 2SY,198001,,51.575264,0.018746
E11 2SZ,198001,,51.57501,0.018836
E11 2TA,198001,,51.574658,0.020524
E11 2TB,198001,,51.575777,0.019751
E11 2TD,198001,,51.578083,0.021628
E11 2TE,198001,,51.57881,0.020679
E11 2TF,198001,,51.578747,0.021152
E11 2TG,198001,,51.578302,0.020887
E11 2TH,198301,,51.580047,0.021426
E11 2TJ,198307,,51.574867,0.017762
E11 2TL,198607,,51.579604,0.021537
E11 2UA,198704,,51.572743,0.019457
E11 2UB,199002,,51.575816,0.026896
E11 2UD,199002,201602,51.575517,0.025988
E11 2UH,199007,199112,51.573392,0.02458
E11 2WA,200112,200209,51.575517,0.025988
E11 2WD,200207,200306,51.575517,0.025988
E11 2WF,200203,200205,51.575517,0.025988
E11 2WR,200306,200509,51.577401,0.027804
E11 2WS,200302,200403,51.575517,0.025988
E11 2WU,200308,200408,51.575517,0.025988
E11 2XA,198803,,51.57918,0.02579
E11 2XE,199612,200101,51.577401,0.027804
E11 2YJ,199812,200107,51.577401,0.027804
E11 2YP,199906,200009,51.577611,0.027077
E11 2YR,199906,200009,51.577611,0.027077
E11 2YT,199912,200104,51.577401,0.027804
E11 2YU,199912,200105,51.577401,0.027804
E11 2YY,200006,200104,51.577401,0.027804
E11 2ZZ,199806,199906,51.578783,0.02482
E11 3AU,198001,,51.569487,0.019501
E11 3BF,200106,,51.569143,0.022761
E11 3QD,198001,201012,51.559956,0.015226
E11 3QN,198001,,51.566341,0.023026
E11 3QP,198001,,51.564133,0.021211
E11 3QR,198001,,51.562579,0.021157
E11 3QS,198001,,51.56294,0.023149
E11 3QT,198001,,51.56334,0.022359
E11 3QU,198001,,51.563983,0.022662
E11 3QW,198001,,51.565554,0.021765
E11 3QX,198001,,51.56509,0.025193
E11 3QY,198001,,51.565559,0.027219
E11 3QZ,198001,,51.56548,0.030736
E11 3RA,198001,,51.565091,0.030834
E11 3RB,198001,,51.565247,0.027552
E11 3RE,200012,,51.566639,0.022477
E11 3RH,198001,,51.565296,0.023701
E11 3RJ,199002,,51.563479,0.031513
E11 3RL,199007,,51.563214,0.031227
E11 3RN,198001,,51.563794,0.031498
E11 3RP,198001,,51.56437,0.03148
E11 3RR,198001,,51.563421,0.029649
E11 3RS,198001,,51.564111,0.030329
E11 3RT,198001,,51.563007,0.029183
E11 3RU,198001,,51.564346,0.028666
E11 3RW,198001,,51.564116,0.031584
E11 3RX,198001,,51.564521,0.028991
E11 3RY,198001,,51.563733,0.029793
E11 3RZ,198510,,51.563481,0.027228
E11 3SB,198607,,51.564472,0.028181
E11 3SD,198607,,51.56425,0.027464
E11 3SE,198001,,51.564146,0.026332
E11 3SF,198001,,51.564719,0.02532
E11 3SG,198001,,51.564695,0.027238
E11 3UP,200001,200009,51.564406,0.024181
E12 5DG,198001,,51.558643,0.042795
E12 5DH,198001,,51.559437,0.04065
E12 5DJ,198001,,51.560529,0.040326
E12 5DL,198001,,51.560671,0.038356
E12 5DN,198001,,51.561501,0.037196
E12 5DP,198001,,51.561992,0.038963
E12 5DR,198001,,51.562307,0.038949
E12 5DW,198001,,51.561631,0.03749
E12 5DX,199308,199501,51.561511,0.035595
E12 5DY,198001,,51.561549,0.036491
E12 5DZ,198001,,51.563441,0.036792
E12 5EA,198001,,51.563235,0.037259
E12 5EB,198001,,51.564589,0.03908
E12 5ED,198001,,51.563771,0.039534
E12 5EE,198001,,51.563143,0.040501
E12 5EF,198001,,51.563171,0.040964
E12 5EG,198001,,51.563152,0.038943
E12 5EH,198001,,51.562354,0.037248
E12 5EJ,198001,,51.562873,0.03896
E12 5EL,198001,,51.560383,0.041474
E12 5EN,198001,,51.560456,0.041939
E12 5EQ,198001,,51.562565,0.037012
E12 5ER,200206,,51.564045,0.04399
E12 5ES,198001,,51.561186,0.039793
E12 5ET,198001,,51.561366,0.039282
E12 5EU,198001,,51.562229,0.043447
E12 5EX,198001,,51.563528,0.042134
E12 5EY,198001,,51.563274,0.041762
E12 5EZ,198001,,51.564613,0.041274
E12 5HA,198001,,51.564972,0.039775
E12 5HB,198001,,51.565296,0.037163
E12 5HD,198001,,51.56532,0.036847
E12 5HE,198001,,51.564264,0.034056
E12 5HF,198001,,51.564991,0.033485
E12 5HG,198001,,51.564397,0.03252
E12 5HH,198001,,51.562314,0.033885
E12 5HJ,198001,,51.563416,0.034121
E12 5HL,198001,,51.564391,0.036979
E12 5HN,198001,,51.564019,0.036645
E12 5HP,198001,,51.564293,0.042659
E12 5HQ,198001,,51.564021,0.032951
E12 5HR,198001,,51.563356,0.043757
E12 5HS,198001,,51.563769,0.043314
E12 5HW,198001,,51.56254,0.044687
E12 5SA,198001,,51.562812,0.044007
E12 5SB,198001,,51.561718,0.033469
E12 5SD,198710,199012,51.562434,0.034193
E12 5SE,199002,,51.564474,0.035337
E12 5SF,199101,199212,51.562409,0.035635
E12 5SG,199201,199412,51.561486,0.037036
E12 5SH,198604,199012,51.561486,0.037036
E12 5SJ,199301,199507,51.561486,0.037036
E12 5SL,199405,199501,51.563333,0.034233
E12 5SP,199412,199512,51.563333,0.034233
E12 5ST,199507,199606,51.563333,0.034233
E18 1AA,198001,201805,51.591999,0.026577
E18 1AB,199507,,51.592688,0.026767
E18 1AD,198001,,51.592509,0.02628
E18 1AE,198001,,51.592445,0.026236
E18 1AF,199412,200602,51.591999,0.026577
E18 1AG,198001,,51.592125,0.027074
E18 1AH,199109,,51.592053,0.026579
E18 1AJ,198303,200306,51.593202,0.02614
E18 1AL,198001,,51.593241,0.025997
E18 1AN,198001,,51.592716,0.02671
E18 1AP,198001,,51.590719,0.026231
E18 1AQ,200507,,51.59214,0.026208
E18 1AR,198001,,51.59165,0.026489
E18 1AS,198001,199806,51.592101,0.025874
E18 1AT,198001,199405,51.592262,0.025419
E18 1AU,198001,,51.592831,0.026325
E18 1AX,199002,199212,51.592262,0.025419
E18 1AY,198001,,51.593832,0.02458
E18 1AZ,198001,,51.593051,0.025512
E18 1BA,198001,,51.593134,0.0254
E18 1BB,199208,199706,51.59375,0.025153
E18 1BD,198001,,51.594432,0.02482
E18 1BE,198001,200808,51.593943,0.025465
E18 1BF,200905,,51.594233,0.028438
E18 1BG,198001,,51.5942,0.02513
E18 1BH,200905,,51.588369,0.026892
E18 1BJ,198001,199405,51.591263,0.03115
E18 1BL,198001,,51.594545,0.025478
E18 1BN,198001,,51.594958,0.026129
E18 1BP,198001,,51.595592,0.026275
E18 1BQ,198001,,51.595168,0.027397
E18 1BS,199002,201812,51.591999,0.026577
E18 1BT,198303,,51.595842,0.025896
E18 1BU,198001,,51.594334,0.027244
E18 1BW,198001,,51.59523,0.025883
E18 1BX,198001,,51.59326,0.026431
E18 1BY,198001,,51.593236,0.027424
E18 1BZ,200106,,51.591999,0.026577
E18 1DA,198604,200904,51.593943,0.025465
E18 1DB,200211,,51.598003,0.034569
E18 1DD,198001,,51.594035,0.028949
E18 1DE,198001,,51.594364,0.028631
E18 1DF,198001,,51.594662,0.028587
E18 1DG,198001,,51.59497,0.030016
E18 1DH,198001,,51.595919,0.032339
E18 1DJ,198001,,51.596802,0.03274
E18 1DL,198001,,51.596793,0.033273
E18 1DN,198001,,51.597313,0.03438
E18 1DP,198001,,51.597811,0.036265
E18 1DQ,198109,,51.59711,0.032089
E18 1DR,198001,,51.597699,0.031336
E18 1DS,198001,,51.597846,0.030086
E18 1DT,198001,,51.597931,0.031967
E18 1DU,198001,,51.598285,0.029687
E18 1DW,198001,,51.597515,0.035325
E18 1DX,198001,,51.599573,0.030582
E18 1DY,198001,,51.599682,0.031063
E18 1DZ,198001,,51.59734,0.030884
E18 1EA,198001,,51.591983,0.029031
E18 1EB,198001,,51.593031,0.029279
E18 1ED,198001,,51.593813,0.029863
E18 1EE,198001,,51.594382,0.031231
E18 1EF,198001,,51.594832,0.031237
E18 1EG,198303,199212,51.594858,0.03131
E18 1EH,199007,,51.592408,0.028905
E18 1EJ,198001,,51.59605,0.033616
E18 1EL,198001,,51.596873,0.034389
E18 1EN,198001,,51.596596,0.034766
E18 1EP,198001,,51.596875,0.035833
E18 1EQ,198001,,51.595712,0.032344
E18 1ER,198001,,51.596973,0.037931
E18 1ES,199612,200805,51.59753,0.038981
E18 1ET,198001,,51.597284,0.037755
E18 1EU,198001,200204,51.597358,0.036981
E18 1EW,198001,,51.596868,0.036193
E18 1EX,199412,201506,51.591999,0.026577
E18 1EY,198001,199501,51.596555,0.037161
E18 1EZ,198001,199707,51.597428,0.038644
E18 1FA,202001,,51.592007,0.035035
E18 1FB,201502,,51.592006,0.035009
E18 1FD,200802,,51.590673,0.033058
E18 1FE,201407,,51.59192,0.035308
E18 1FF,201406,,51.592288,0.035353
E18 1GN,200807,,51.594721,0.023103
E18 1HA,198001,,51.596099,0.038527
E18 1HB,198001,,51.594915,0.035873
E18 1HD,199405,200805,51.594681,0.036832
E18 1HE,198001,198112,51.594758,0.037081
E18 1HF,198001,198112,51.594783,0.035638
E18 1HG,200106,200602,51.591999,0.026577
E18 1HH,198001,198412,51.594783,0.035638
E18 1HJ,198001,199507,51.594783,0.035638
E18 1HL,200207,,51.590755,0.033004
E18 1HN,198001,198412,51.594808,0.034195
E18 1HP,199501,199507,51.594783,0.035638
E18 1HS,198001,199112,51.594783,0.035638
E18 1HU,198001,,51.5962,0.03794
E18 1HW,199507,201106,51.595136,0.03704
E18 1HX,198001,,51.595904,0.037363
E18 1HY,198001,,51.595469,0.037055
E18 1HZ,198001,199507,51.594833,0.032753
E18 1JA,198001,,51.595989,0.035042
E18 1JB,198001,,51.596654,0.037137
E18 1JD,199405,200603,51.591999,0.026577
E18 1JH,198001,,51.596865,0.03641
E18 1JJ,198001,,51.591792,0.028226
E18 1JL,198001,,51.591868,0.028448
E18 1JN,198001,,51.592411,0.030291
E18 1JP,198001,,51.594562,0.031744
E18 1JR,198001,,51.592995,0.033956
E18 1JS,198001,,51.593835,0.032737
E18 1JT,198001,,51.59289,0.031713
E18 1JU,198001,,51.592969,0.031298
E18 1JW,198001,,51.592705,0.029929
E18 1JX,198001,,51.592624,0.032553
E18 1JY,199412,199812,51.592309,0.031023
E18 1JZ,198001,,51.591983,0.032192
E18 1LA,198001,,51.591735,0.031459
E18 1LB,199501,199512,51.591238,0.032592
E18 1LD,198001,,51.591722,0.033754
E18 1LE,198001,,51.591105,0.032485
E18 1LF,198001,,51.590387,0.03189
E18 1LG,198001,,51.590912,0.030658
E18 1LH,198001,,51.591254,0.030124
E18 1LJ,198001,,51.591198,0.030771
E18 1LL,198001,,51.591087,0.03094
E18 1LN,198001,,51.590698,0.029606
E18 1LP,198001,,51.590705,0.030143
E18 1LQ,199308,199507,51.59039,0.029667
E18 1LR,198001,,51.589931,0.031769
E18 1LS,198001,,51.590491,0.032239
E18 1LT,198001,,51.58919,0.032992
E18 1LU,198001,,51.588753,0.032785
E18 1LW,198001,,51.590622,0.028809
E18 1LX,198001,,51.588244,0.033628
E18 1LY,198001,,51.587308,0.034207
E18 1LZ,198001,,51.586808,0.033982
E18 1NA,198001,,51.586736,0.035567
E18 1NB,198001,,51.587493,0.034908
E18 1ND,198001,,51.588885,0.034508
E18 1NE,198001,,51.589321,0.033719
E18 1NF,198001,199405,51.59034,0.032552
E18 1NG,198001,,51.590544,0.03376
E18 1NH,198001,199112,51.59034,0.032552
E18 1NJ,198001,,51.591111,0.035257
E18 1NL,199501,,51.590687,0.034413
E18 1NN,198001,,51.591513,0.034886
E18 1NP,198001,,51.588759,0.031933
E18 1NQ,199201,199501,51.59034,0.032552
E18 1NR,198001,,51.586831,0.033161
E18 1NS,198001,,51.586751,0.032609
E18 1NT,198001,,51.586013,0.032143
E18 1NU,198001,,51.587189,0.031199
E18 1NW,200405,,51.585704,0.035406
E18 1NX,198001,,51.588343,0.031568
E18 1PA,198001,,51.589091,0.030937
E18 1PB,198001,,51.587877,0.030392
E18 1PD,198001,,51.587038,0.029518
E18 1PE,198001,,51.586625,0.029485
E18 1PF,198001,,51.585792,0.031396
E18 1PG,198001,,51.585546,0.031025
E18 1PH,198001,,51.584673,0.031087
E18 1PJ,198001,,51.58547,0.032826
E18 1PL,198001,,51.58518,0.032971
E18 1PN,198504,,51.586671,0.031479
E18 1PP,199501,200602,51.591999,0.026577
E18 1PQ,198001,,51.584912,0.03078
E18 1PR,198001,,51.589881,0.027883
E18 1PS,198001,,51.590363,0.027573
E18 1PT,198001,198412,51.589541,0.026742
E18 1PU,198001,,51.589106,0.026939
E18 1PX,198001,,51.590097,0.028903
E18 1PY,198001,,51.589124,0.028513
E18 1PZ,198001,,51.587872,0.027043
E18 1QA,198001,,51.58757,0.027376
E18 1QB,198001,,51.586447,0.026777
E18 1QD,198001,,51.58584,0.027054
E18 1QE,198001,,51.586681,0.027784
E18 1QF,198001,,51.586254,0.028573
E18 1QG,198001,,51.585597,0.03019
E18 1QH,198001,,51.588417,0.028323
E18 1QJ,199002,200805,51.591999,0.026577
E18 1QL,198001,,51.589203,0.029123
E18 1QP,198001,198412,51.59044,0.026782
E18 1QQ,198001,,51.588353,0.028912
E18 1QR,199507,199712,51.5923,0.031023
E18 1RB,198001,,51.595304,0.029958
E18 1RD,198001,,51.597608,0.02931
E18 1RE,198001,,51.598252,0.031577
E18 1RF,198307,200105,51.592309,0.031023
E18 1RG,199308,199507,51.595756,0.03135
E18 1RH,198001,,51.593657,0.033668
E18 1RL,199501,199512,51.593036,0.032673
E18 1RP,198607,199507,51.591413,0.022494
E18 1RQ,199201,199405,51.593036,0.032673
E18 1RR,198607,201008,51.59326,0.026431
E18 1RS,199501,199512,51.592287,0.023977
E18 1RT,198604,201404,51.593358,0.027056
E18 1RU,200006,201102,51.59326,0.026431
E18 1RX,198607,199507,51.591413,0.022494
E18 1RZ,199507,201605,51.59326,0.026431
E18 1SA,198803,199405,51.593135,0.026902
E18 1SE,199201,199212,51.593135,0.026902
E18 1SF,199301,199405,51.593135,0.026902
E18 1SG,199512,199606,51.593135,0.026902
E18 1SH,199405,199512,51.591413,0.022494
E18 1SJ,199405,199501,51.591413,0.022494
E18 1SL,199412,199507,51.591413,0.022494
E18 1SN,199612,200006,51.592309,0.031023
E18 1SP,199507,200007,51.592309,0.031023
E18 1SQ,199606,200007,51.592309,0.031023
E18 1SR,199612,200101,51.592309,0.031023
E18 1SS,199612,200311,51.591999,0.026577
E18 1ST,199706,200304,51.591999,0.026577
E18 1SU,200006,200201,51.591999,0.026577
E18 1SW,199612,199906,51.592309,0.031023
E18 1SX,199712,199812,51.592309,0.031023
E18 1SY,199812,200609,51.591999,0.026577
E18 1SZ,199812,199906,51.593135,0.026902
E18 1TE,199606,200602,51.591999,0.026577
E18 1TP,198001,,51.590245,0.031306
E18 1TR,199501,199512,51.589466,0.03107
E18 1UR,200801,201101,51.591999,0.026577
E18 1US,200801,200901,51.591999,0.026577
E18 1UT,200709,201410,51.591999,0.026577
E18 1UU,200708,201812,51.591999,0.026577
E18 1UW,200707,201812,51.591999,0.026577
E18 1UX,200702,200803,51.591999,0.026577
E18 1UY,200601,200702,51.591999,0.026577
E18 1UZ,200506,200604,51.591999,0.026577
E18 1WA,200112,200602,51.591999,0.026577
E18 1WB,200206,200307,51.590245,0.031306
E18 1WD,200209,200309,51.590245,0.031306
E18 1WE,200207,200601,51.591999,0.026577
E18 1WF,200301,,51.591999,0.026577
E18 1WG,200304,201812,51.591999,0.026577
E18 1WH,200305,200406,51.590245,0.031306
E18 1WJ,200307,200601,51.591999,0.026577
E18 1WL,200307,200507,51.590245,0.031306
E18 1WN,200309,200602,51.591999,0.026577
E18 1WP,200310,201812,51.591999,0.026577
E18 1WQ,200403,200812,51.591999,0.026577
E18 1WR,200303,200405,51.590245,0.031306
E18 1WS,200206,200602,51.591999,0.026577
E18 1WT,200303,200507,51.590245,0.031306
E18 1WU,200206,200604,51.591999,0.026577
